timestamp,node,partition,state,cpu_alloc,cpu_idle,cpu_other,cpu_total,cpu_used_pct,ram_used_bytes,ram_total_bytes,load1,load5,load15,uptime_seconds
2026-09-04T11:35:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49,58306650112,809615593472,53.65,54.62,54.48,1445509
2026-09-04T11:40:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58088288256,809615593472,56.45,54.12,54.15,1445811
2026-09-04T11:45:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,58277208064,809615593472,54.89,54.03,54.07,1446108
2026-09-04T11:50:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.7,58053828608,809615593472,50.81,53.62,53.98,1446409
2026-09-04T11:55:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57971032064,809615593472,51.18,52.80,53.61,1446708
2026-09-04T12:00:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,58115760128,809615593472,53.41,53.60,53.79,1447013
2026-09-04T12:05:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.7,57969709056,809615593472,53.67,53.32,53.61,1447311
2026-09-04T12:10:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49,57880461312,809615593472,53.36,53.44,53.56,1447609
2026-09-04T12:15:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,58447720448,809615593472,52.36,53.73,53.71,1447909
2026-09-04T12:20:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58251952128,809615593472,51.48,53.33,53.62,1448212
2026-09-04T12:25:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,58402037760,809615593472,52.96,53.84,53.77,1448510
2026-09-04T12:35:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.1,57922281472,809615593472,56.74,55.00,54.26,1449109
2026-09-04T12:40:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57858330624,809615593472,54.82,53.98,53.91,1449413
2026-09-04T12:45:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,58735046656,809615593472,53.89,53.97,53.95,1449710
2026-09-04T12:50:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,57904324608,809615593472,56.40,55.23,54.48,1450010
2026-09-04T12:55:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.1,57983479808,809615593472,52.56,54.99,54.70,1450308
2026-09-04T13:00:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57969238016,809615593472,53.32,54.86,54.77,1450612
2026-09-04T13:05:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57783177216,809615593472,54.21,54.69,54.68,1450910
2026-09-04T13:10:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.7,58300411904,809615593472,55.51,54.36,54.49,1451210
2026-09-04T13:15:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,57948798976,809615593472,54.21,54.24,54.37,1451509
2026-09-04T13:20:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,57851494400,809615593472,50.91,53.36,54.03,1451811
2026-09-04T13:25:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.9,58123329536,809615593472,54.47,53.46,53.87,1452109
2026-09-04T13:30:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.7,58057592832,809615593472,55.03,53.71,53.79,1452412
2026-09-04T13:35:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58250502144,809615593472,55.07,54.56,54.13,1452709
2026-09-04T13:40:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.7,59136573440,809615593472,54.75,54.99,54.45,1453011
2026-09-04T13:45:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49,58974101504,809615593472,55.37,55.14,54.69,1453310
2026-09-04T13:50:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57802506240,809615593472,54.50,54.48,54.49,1453610
2026-09-04T13:55:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.7,58567319552,809615593472,53.95,54.96,54.72,1453908
2026-09-04T14:00:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49,58141372416,809615593472,52.49,53.97,54.37,1454211
2026-09-04T14:05:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.3,57889267712,809615593472,56.96,55.76,55.01,1454512
2026-09-04T14:10:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,57844871168,809615593472,52.23,54.19,54.59,1454810
2026-09-04T14:15:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.2,57835102208,809615593472,57.07,55.92,55.22,1455108
